Original Review,Summarized Review
i admit i am not a big fan of mcdonalds however sometimes nothing hits the spot like their fries and a diet coke what pushes this location over the edge of some others is the staff they are always super nice whether it is 10am or 10pm they do not make you repeat your order 18 times and they get it right they are also generous with the condiments when you ask for them and even when you do not unlike some fast food places that stop serving milkshakes after a certain hour because they have already cleaned the machine they will make you a milkshake up until they close service is a huge thing for me so the fact that they are always smiling and ready to help me get my fat fix is what makes me partial to this particular location it can be a bit of a pain to get into and out of as it is right on holcomb bridge rd but that is a minor annoyance, Staff are always super nice whether it is 10am or 10pm they do not make you repeat your order 18 times and they get it right . They are generous with the condiments when you ask for them and even when you do not
only the fact that its a mcdonalds is what earns it a 25 star the staff at this location can vary from customer service focused to blatant thisregard about anything other than accepting your food order and taking your payment my last visit was a combination of the two when i placed my order an the drive thru intercom the order was taken correctly total given thanked and asked to drive around to the window by the time i got around to the window the person that was to take my money and give me my food was way more interested in an argument that was going on outside in the parking lot between two young ladies and the two young men they were withi will admit that i too paid attention to the fight in the parking lot to make sure it did not escalate into gunfire with my car sitting center mass of it all about six months ago someone told me they got robbed while sitting in the drive thru at this location but they were there around 2am and my visit was taking place at 6pm so i was not worried about getting robbed as much as i was about getting shotafter making sure that the parking lot was not about to be shot up he accepted my cash asked me if i wanted to wait a minuite and get some hot fries i did and i didsure i will go back i love mcdonalds fries 18 of 100, Staff at this location can vary from customer service focused to blatant thisregard about anything other than accepting your food order and taking your payment . When i placed my order an the drive thru intercom the order was taken correctly total given thanked
of course this is a fast food restaurant so of course there is not much of a spectacular review that i can write but i will express my concerns i work late nights and when i do get off work if there nothing ready in the house i will stop and my only option is mcdonalds or checkers needless to say this is nothing short of ghetto i could hear the employees in the background laughing and playing over the intercom as i am ordering the food after i ordered she did not even bother to tell me my total or go over my order with me when i made it to the window she was having a conversation with her co worker despite me having my hand out the window to give her the money when i drove up to the second windowsomeone had been smoking a cigarette and threw it right outside the drivethrough window now i do not know if it was maybe a previous customer or and employee but nobody was in front of me when i pulled up but hard to say i could hear the music they were playing over my radio in the car and to top it off somebody was calling another chick a btch and just being loud i mean hey did not expect nothing spectacular but if these are the people thats making my big mac i will pass the day shift is the complete opposite so do not be thiscouraged too much by this my food tasted mcdonalds worthy but they need to change up that scenery a bit, of course this is a fast food restaurant so of course there is not much of a spectacular review that i can write but i will express my concerns i work late nights and when i do get off work if there nothing ready in the house
this mcdonalds has the slowest drivethru service i have ever experienced once or twice weve even gotten out of line and left because it was so bad i really do not know what their problem is it is bad every single time i have been there despite the hour despite the number of cars in linethere are two reasons why i continue to return to this mcds the first is it is convenient location the second my food is always hot and prepared correctly despite the ridiculously slow line i have never received cold fries or a wrong order i am not sure what they are doing back there to make things run so agonizingly slowly but my food always comes out fine, this mcdonalds has the slowest drivethru service i have ever experienced once or twice weve even gotten out of line and left because it was so bad i really do not know what their problem is it is bad every single
no stars is more appropriate every time i come here they screw something up today i ordered a filet light sauce and an unsweet tea i get to work and what do i find a filet on a toasted bun and some god awful flavored unsweet tea i tried calling them today and after other experiences and they never pick up their phone i usually go through the drivethru because it is convenient i went into the store and found this place to be a pig sty, no stars is more appropriate every time i come here they screw something up today i ordered a filet light sauce and an unsweet tea . i tried calling them today and after other experiences and they never pick up their phone i usually go
hot tipif you have to go to this location in the mornings lunch hour or evenings it is invariable that the jimmy carter blvd and peachtree industrial intersection just west of this mcdonalds backs up past the entrance to mcdonaldssorather than taking your life in your hands by trying to turn left through three lanes of traffic simply drive 1200 feet pass this mcdonalds and turn left at the traffic light then travel back through the parking lot to your get your mcgrub without inconveniencing all the people in cars trying to get to work or homethis advice makes much more sense than the numbskulls trying to cut through solid traffic just to get some fast food and for you people who chose to live in hidden cove next to and east of mcdonalds you have no luck in being able to pull out easily the traffic is always solid in front of that entranceexit and you really should have chosen another place to live with easy egress i know a clue is a lot to ask for these days, Traffic backs up past the entrance to mcdonaldssorather than taking your life in your hands by trying to turn left through three lanes of traffic simply drive 1200 feet pass this mcdonalds and turn left at the traffic light then travel
stopped off at this location around 645 am on a weekday and had to be to work by 7am getting to this place can be a hassle because of where my work is located however i stopped because they had that 2 sausage egg mcmuffins for 3 i wanted to get some for my team got to the drivethru and told the lady what i wanted which was the 2 sausage egg mcmuffin special she said were out of sausage naturally i questioned her again but it was true this mcdonalds was out of sausages i simply drove offit was a hassle to get there and on top of that they ran out of a product they were advertising let us just say i would not be taking the extra effort to visit that location, 2 sausage egg mcmuffins for 3 for 3 were out of sausage . The drivethru was a hassle to get there and on top of that they ran out of product they were advertising .
in consistent quality late nights the food is bad but during busy hours its good,in consistent quality late nights the food is bad but during busy hours its good
i am not ashamed to admit that i am a fan of fast food but this mcdonalds is always slow and the freshness of the food is hit or miss i also feel like it is one of the few mcds that has not been remodeled to the newer design,i am not ashamed to admit that i am a fan of fast food but this mcdonalds is always slow and the freshness of the food is hit or miss i also feel like it is one of the few mcds that has not been remodeled to the newer design
went here 3 times over the course of a couple weeks the first 2 times they got my order wrong and on the 3rd my wife found a bic pen blended up in her smoothie i am not even sure how that can accidentally happen we emailed the owner to complain and when he called us back he had quite an attitude and was unapologetic about the incident all he did was defend their food inspection rating, A bic pen was blended up in a smoothie by the owner of the restaurant . The owner was unapologetic about the incident and defended their food inspection rating .
ok i am waiting for like 10 minutes to place my order with the staff walking back  forth just looking at me like i am crazy and another 10 minutes or so before i got my food this location use to be my stop in the mornings when i worked near here but they have fallen way off, The staff walked back  forth just looking at me like i am crazy and another 10 minutes before i got my food . This location use to be my stop in the mornings when i worked near here but they have fallen way off .
it is what it is so i am mclovin it,it is what it is so i am mclovin it
i live slightly closer to this mcdonalds than the one next to perimeter mall even though the mcdonalds next to perimeter mall is farther away and always has traffic around it i pick it over this location it is old and dirty and has a monopoly for fast food in this area if it was not a mcdonalds it would fail it is actually a testament to how strong the mcdonalds name is this location is awful, i live slightly closer to this mcdonalds than the one next to perimeter mall . The location is old and dirty and has a monopoly for fast food in this area . It is actually a testament to how strong the name is this location
they have signs posted telling you that you are only allowed 30 minutes to consume your food and then you must vacate that seems a bit pushy,they have signs posted telling you that you are only allowed 30 minutes to consume your food and then you must vacate that seems a bit pushy
if i could give this place zero stars i would  they do not train staff in guest service and the management is horrible  when i am not near a starbucks i like to come here sometimes for their iced coffee they have never got my order right and never been compelled to fix my order or give me a refund  one day me and hubby were in a rush in the morning and grabbed  breakfast  when we got into the car we look inside of our bag and we have all lunch items we go back inside to correct our order and we are informed that breakfast is over and there is nothing they can do they proceeded to take our name down and told us we could grab free breakfast the next day next morning comes around and we go to get our breakfast we are told that our names are not in the book and again there is nothing they can do  i mean it is mcdonalds but please have some pride in what you do, Starbucks has never got my order right and never been compelled to fix my order or give me a refund . They do not train staff in guest service and the management is horrible . When i am not near a starbucks i like to
always come here with no expectations in my food and somehow it exceeds to be lowered when i receive my foodtip always ask for ketchup and ketchup cause they will never throw any in the bagbut it is mcdonalds and all are the same,always come here with no expectations in my food and somehow it exceeds to be lowered when i receive my foodtip always ask for ketchup and ketchup cause they will never throw any in the bagbut it is mcdonalds and all are the same
i just ordered food from there an hour ago my fries were all stale and cold they must have been old they forgot to give me my drink i have been trying to call them and their phones are busy worst mcdonalds i have ever been too i tried to be nice yesterday and compliment them since it was christmas but i feel like it was a mistake, i just ordered food from there an hour ago my fries were all stale and cold they must have been old they forgot to give me my drink . i tried to be nice yesterday and compliment them since it was christmas but i feel like
they cannot get the orders right i always have to double check my bag before leaving the drive thru they are open late but they have no lights on at night poor service i would rather go to sonics down the street this mc donalds needs improvement bad,they cannot get the orders right i always have to double check my bag before leaving the drive thru they are open late but they have no lights on at night poor service i would rather go to sonics down the street this mc donalds needs improvement bad
worst mcdonalds ever bad costumer service cold burgers cold fries the manager lady is the biggest b i have meet the people that work there are slow and dumb i think i rather drive out of my way than come here,worst mcdonalds ever bad costumer service cold burgers cold fries the manager lady is the biggest b i have meet the people that work there are slow and dumb i think i rather drive out of my way than come here
went there just to get coffee in the morning and the one thing i need in the morning coffee was apparently out of order,went there just to get coffee in the morning and the one thing i need in the morning coffee was apparently out of order
i stopped at this mcdonalds because i had about two minutes to grab lunch the only reason i ever eat at a mickey ds is because it is a fast b cheap and c predictable you know the food would not be awesome but it will be reasonably eatable man was i thisappointed on points b and cfirst the medium quarter pounder meal was more than six bucks jeez that is hardly a dealwhat made the sticker shock worse was the poor quality of the food this had to be the worst quarter pounder i have ever half eaten maybe even the worst fast food burger i have ever had it looked like it had been sitting out on uncle zekes radiator all morning the burger patties were gray and curled up at the edges the bun was dry and crusty it is like the damn thing was somehow mummified just nasty too bad i did not have time to take it backthis will probably be the very last time i ever eat at a mcdonalds it was that bad, i stopped at this mcdonalds because i had about two minutes to grab lunch the only reason i ever eat at a mickey ds is because it is a fast b cheap and predictable you know the food would not be awesome but
the worst service ever and i am not a rude person at all i said please and thank you and i absolutely was not greeted whatsoever whoever that dumbass lady was that was working needs to take that stick out of her do not be mad at me because you hate your job bitch let us not forget that everyone is replaceable including your miserable self it took every bit of me not to cuss her out i would write a letter to corporate but she did not give me a receipt go figure right i am not one to talk down on people that works fast food because it is not in my character to knock someones hustle but she really needs to get it together and for that i will not ever return to this mcdonalds ever again some bullshit oh and not only did i not get a receipt i did not get a straw and instead of 10 piece chicken nuggets i got 9 what in the fucking fuck fuck that mcdonalds, The worst service ever and i am not a rude person at all i said please and thank you and i absolutely was not greeted whatsoever . Instead of 10 piece chicken nuggets i got 9 what in the fucking fuck fuck fuck that mcdonald
worst mcdonalds ever they are unable to get an order correct went through the drive through last night got home and no fries in my bag got to the window and the woman running the window was talking about her personal life with a co worker laughing it up with her back t us making us wait instead of giving us our ice coffee then she seemed to remember she was working and brought us our coffee last time i went there i ordered something with no mayo which my tix said got home and covered in mayo called up to complain and the responsewhat do you want me to do about it if i get the craving for mcdonalds i will drive out of my way i hope this one goes out of business this location is good for nothing, Worst mcdonalds ever they are unable to get an order correct went through the drive through last night got home and no fries in my bag got to the window and the woman running the window was talking about her personal life with a co
worst mcdonalds ever they are unable to get an order correct went through the drive through last night got home and no fries in my bag got to the window and the woman running the window was talking about her personal life with a co worker laughing it up with her back to us making us wait instead of giving us our ice coffee then she seemed to remember she was working and brought us our coffee last time i went there i ordered something with no mayo which my ticket said got home and covered in mayo called up to complain and the responsewhat do you want me to do about it i hope this one goes out of business this location is good for nothing my husband and i if we ever go to another mcdonalds it will be out of state, Worst mcdonalds ever they are unable to get an order correct went through the drive through last night got home and no fries in my bag got to the window and the woman running the window was talking about her personal life with a co
management is very rude here i bring my son every now and then to play and have witnessed on several occasions the manager who is a female was extremley rude i was shocked at her behavior i still go there because its close to my house,management is very rude here i bring my son every now and then to play and have witnessed on several occasions the manager who is a female was extremley rude i was shocked at her behavior i still go there because its close to my house
worst one i have eve been too i was number 205 and i waited for ever and ever and the manager was giving out the food and saw me standing there forever and she did not ask me what my order was or anything it got up to 216 when the cashier had to ask me what my order was so slow and thisorganized and barely any space to eat and sit down, Worst one i have eve been too i was number 205 and i waited for ever and ever . Manager was giving out the food and saw me standing there forever and she did not ask me what my order was or anything it got up to
i stopped by for a quick lunch and it took twenty minutes to get my order and was only spoken to in spanish,i stopped by for a quick lunch and it took twenty minutes to get my order and was only spoken to in spanish
my mom and i went here for sodas around the night i moved back they tasted normal my husband and i got sodas this morning and i cant even describe how awful they tasted we promptly threw them out and went somewhere else on top of that the panhandlers and drug addicts asking for money both times is ridiculous plus we could barely understand the lady talking through the order box in the drive throughdo not go here, my husband and i got sodas this morning and i cant even describe how awful they tasted . We promptly threw them out and went somewhere else . The panhandlers and drug addicts asking for money both times is ridiculous .
we are retired and have gone to this mcdonalds since they built it two blocks from our house this last year it has gone down hill they are out of things often week after week the service has become poor some of the long time employees are good but the bad now outweighs the good at that locationthe street people hitting you up in the drive through and inside but the managers will do nothing about them talked to the owner and he said he would see thing get better but they did not after all these years we decided we no longer need mcdonalds and have not been in three months we have ten grandkids that are not missing it either poor service has cost them a lot when you think about it over the years, Retired couple say they no longer need mcdonalds and have not been in three months . Service has become poor at the location two blocks from their house .
agree worst mcdonalds ever not only did they mess up our order they messed up the order before ours,agree worst mcdonalds ever not only did they mess up our order they messed up the order before ours
worst mcdonalds in vegas bad service consistently and sloppy made food 3 trys and still crap wtf i am sure the hobos panhandling outside could do better they seriously must go out of the way to fuck things up i just want to know what other mcdonalds this franchisee owns so i can avoid those also," ""Worst mcdonalds in vegas bad service consistently and sloppy made food 3 trys and still crap wtf i am sure the hobos panhandling outside could do better"" i just want to know what other mcdonald"
horrible service to the extent that i had to come on and write about a mcdonalds lol,horrible service to the extent that i had to come on and write about a mcdonalds lol
i went to get some food for my wife and i at 11pm this place is in a hotel so you think they would have staffing nope they had 2 people working and were running out of food as they were taking orders no planning ahead here there were almost 20 people in line and took over half an hour to get my food it was ridiculous, i went to get some food for my wife and i at 11pm this place is in a hotel so you think they would have staffing nope . There were almost 20 people in line and took over half an hour to get my food
this place is quite sub par even for a mcdonalds this place is really ghetto and there is always a bunch of annoying kids loitering and taking up the available tables i guess it is ok if you want to grab a soda on a hot day or a snack to munch on while walking around but again it is not very good for your health or for taste i say exert some selfthiscipline buy something worthwhile in walmarts grocery section then go home and prepare something worth eating, This place is really ghetto and there is always a bunch of annoying kids loitering and taking up the available tables . It is ok if you want to grab a soda on a hot day or a snack to munch on while walking
i was on my way home a little after midnight and i wanted a cold drink this mcdonalds is easy to get to the drive through had three cars in front of me but before long i had my diet coke ordered and i was soon at the window picking it upi generally do not stop in this neighborhood because there are others closer to home but this was perfect last night a good stop with a pleasant and quick staff, i was on my way home a little after midnight and i wanted a cold drink this mcdonalds is easy to get to the drive through had three cars in front of me but before long i had my diet coke ordered and i
ordered at 355am on 921 did not get food until 407am they forgot our order of fries i had to call twice and they hung up on me both times without an update third time i called they said they were waiting for the eggs to cook 410am received order of fries, ordered at 355am on 921 did not get food until 407am they forgot our order of fries i had to call twice and they hung up on me both times without an update . Third time i called they said they were waiting for
by far the worst drive thru experience in the united states my husband  i stopped by for drinks since it was a hot evening during our visit in vegas a tall large african american man was working the drive thru when we ordered he never responded over the speaker after waiting 3 minutes we finally pulled up to the window  the car in front of us entire order was wrong they had to pull up front  wait when we made it to the window he asked us did you order  we confirmed yes he asked what it was once we told him what our order was he said for real  i was floored at the terrible service of this chain the service was so bad i took a photo of the phone number posted outside the window to file a complaint after he confirmed our order which was only two drinks we waited at that window another 5 minutes to get the drinks when we drove off we noticed it was a slu of cars waiting behind usthe guy working the window clearly did not know what he was doing  should not have been working the drive thru the owner of this franchise really needs to put some tlc  training into their staff, by far the worst drive thru experience in the united states my husband  i stopped by for drinks since it was a hot evening during our visit in vegas a tall large african american man was working the drive thru when we ordered
drive thru sucks here this is the 3rd time they messed up my order and there sooooo freakin slow they have no since of urgency,drive thru sucks here this is the 3rd time they messed up my order and there sooooo freakin slow they have no since of urgency
what do you expect it is a mcdonalds you go here for bad coffee and even worse food i usually get annoyed when i receive poor service but i should temper the urge to write about it based on the location and the service they are providing if you want better service andor better food go to a starbuck and spend a few more pennies this is just an average runofthemill mcdonalds, What do you expect it is a mcdonalds you go here for bad coffee and even worse food? Go to a starbuck and spend a few more pennies this is just an average McDonald's .
fries were old and coldthey were out of ice asked for the sandwich to be plain it did not come that way they forgot to give us our drinks,fries were old and coldthey were out of ice asked for the sandwich to be plain it did not come that way they forgot to give us our drinks
this location is quite busy had a good deal on big macs quick and easy food to pick up for the kids on the go ,this location is quite busy had a good deal on big macs quick and easy food to pick up for the kids on the go 
only 2 reviews for a mcdonalds hmmmmake it 3let us just say not the best i have been 4 times to this location 3 of the 4 times they had my order wrong once when ordering chicken mcnuggets via the drivethru they asked me to pull around the corner and parkand they would bring it out to me i waited 20 minutes on a positive note if you order and decide to eat there the inside is actually pretty big and kept clean it is also offstrip and has easy parking ps inandout is just one more block up the street, 3 of the 4 times they had my order wrong once when ordering chicken mcnuggets via the drivethru . The inside is actually pretty big and kept clean it is also offstrip and has easy parking .
the story is short evil thishonest scam artists and bigotsthe story is longthere are a number of things wrong with this mcdonalds but a few things that are right let us start with the goodfood is usually correct as ordered in the drivethruworkers are friendly enough probably because they see me oftenthe badon the drivethru menu board it says plainly value meal 2 quarter pounder w cheese 509 for medium friesdrink large fries and large drink for 040 extra total should be 549 plus taxi say plainly at least a dozen times a month number 2 large with cokemy receipt says plainly 1 qrt cheese mllrg 380 1 xlg coke 189 subtotal 569 take out tax 045wtf is a take out tax were quibbling over 20 cents plus a dubious take out tax but it is twenty cents for 30 customers an hour times 18 hours a day times 365 days a year scam artists running this mcdonalds boo hissthe uglyonly people of one race and one sex are hired at this restaurant and apparently only one national origin too this is against federal law see eeocgov  when a population of workers is examined as to characteristics such as gender race and age and the data is charted according to statistical groupings and you wind up with everybody being the same this is a pattern that is against federal law but who cares it is vegas and it is mcdonalds in vegas right i emailed mcdonalds corporate and they could not care less the response i got back was a form letter copypasted, The story is short evil thishonest scam artists and bigotsthe story is long . Only people of one race and one sex are hired at this restaurant and apparently only one national origin too this is against federal law see eeoc
wtf this place sucks just left drive thruwas in line for 25 min girl got my order wrong took back extra sodagave me my order and thisappeared for 5 min while i waited for receipt when i finally got my receipt i was so mad i drove off only to find out i still got charged for the soda wow really mc ds she was so lazy she bet on me leaving so she didnt have to give me my 1 refund jokes on me one less family that will go here so sad, wtf this place sucks just left drive thru was in line for 25 min girl got my order wrong took back extra sodagave me my order and thisappeared for 5 min while i waited for receipt . When i finally got my
nice mcdonalds inside but they have a remote that locks the bathroom ghetto much,nice mcdonalds inside but they have a remote that locks the bathroom ghetto much
simple question what is so hard about making a dipped cone that looks like the picture in the restaurant sometimes they make it so fat that it attacks my clothingi love your dipped cones addicted to it,simple question what is so hard about making a dipped cone that looks like the picture in the restaurant sometimes they make it so fat that it attacks my clothingi love your dipped cones addicted to it
it is mcdonalds for fs sake it is what it is the food sucks but it is usually microwaved or fried within a debatable somewhat reasonable amt of time staff are usually genuinely unhappy but nice none the less,it is mcdonalds for fs sake it is what it is the food sucks but it is usually microwaved or fried within a debatable somewhat reasonable amt of time staff are usually genuinely unhappy but nice none the less
here i sit 25 minutes now waiting for my 5 breakfast burritos this mcdonalds is slow and the employees are not at all friendly i do not recommend this place at all,here i sit 25 minutes now waiting for my 5 breakfast burritos this mcdonalds is slow and the employees are not at all friendly i do not recommend this place at all
worst mcdonalds ever i work close so it is convenient for breakfast and lunch however after my experience today i will not be going back with so many other dining options in the area i wonder why they do not pay attention to the reviews and step up their game today i went through the drive thru  which is always the slowest around average of about 5 mins in line  longest time was 11 minutes today was the 4th time in a month that i have been through the drive thru and my order was wrong or incomplete i am only one person how many other people does this happen tothis morning i went to the drive thru about 610am lucky since i was the only one in line placed my order but could tell the person taking my order was thistracted got to the payment window where the person dropped my change on the ground ugh next window pick up food here is the entire conversation me can i get some mayonnaise and salt mds mayonnaise as he is chatting with a coworker and not listening to meme yes mayonnaise and saltmds ok still chatting it up with coworkermds that was mayonnaise and jellyme no mayonnaise and saltugh pay attention needless to say i got to work and order was incomplete frustrated i got back in my car drove back to restaurant and went inside talked to a manager or assistant could not tell as they had no nametag but they were very uninterested in the fact that a customer had an issue i explained that it had happened 4 times in last month still no reaction no concern no apology  he proceeded to get my other item but was not going to replace the current one i brought back since it was now a cold item i had to ask to get a replacementi mentioned again that this is the 4th time in a month that this had happened to just me but again no apology no concern and no reaction worst customer service of any restaurant i have ever been in it seems to me that they need to be reading these reviews and try to improve i will be sending a copy of this review to mcdonalds corporate office because if they are not already aware of how bad this store is they need to be, This is the 4th time in a month that i have been through the drive thru and my order was wrong or incomplete . This was the worst customer service of any restaurant i have ever been in . i will be sending a copy of
this mcds is bad it is near my home and has a drive thru so i hit it up for the dollar menu it is pure convenience that i go to this one the wait for food here is unreal this last week my mcdouble tasted more like it was reheated the bun was rock hard i just never know if i am going to get what i ordered correctly or if it will taste normal or reheated i have been getting coupon books in the mail that have been good deals inside feels kinda cramped the lines inside are as bad as the drive thru please remember that people leaving the drive thru have rights too i obey the stop sign before pulling out but it seems the people shopping within the strip mall think they have the right to zip by you and not let you out, this mcds is bad it is near my home and has a drive thru so i hit it up for the dollar menu . The wait for food here is unreal this last week my mcdouble tasted more like it was reheated the
i am so relieved i am not the only one who knows how dysfunctional this mcdonalds is compared to any other every time i would be in the drivethru they would get my order wrong and as i waited for my upcoming wrong order with cars in front of me i entertained myself by 1 watching the handoff of food from the employee to the driver of the car 2 a slight pause and 3 then the hand back as the driver qas and returns the wrong order that was given to them i hope this mcdonalds improves because i am sure there are some good employees who work here and this is such a great location for this restaurant, i am so relieved i am not the only one who knows how dysfunctional this mcdonalds is compared to any other . Every time i would be in the drivethru they would get my order wrong and as i waited for my upcoming
do not come in their priority is the drive thru do not waste your time horrible customer service i will be avoiding this place as much as possible,do not come in their priority is the drive thru do not waste your time horrible customer service i will be avoiding this place as much as possible
the drive thru might be the worst i have gone through a few times the staff is rude and when they short your order your made to feel like it is your fault ,the drive thru might be the worst i have gone through a few times the staff is rude and when they short your order your made to feel like it is your fault 
i dont mind fresh and hotbut when you have to wait 15 minutes to order and another 15 minutes to receive the order plus bad attitudenot a good mixtry two cashiers when you got 4 people or more in one linethat would cut the first 15 minutes,i dont mind fresh and hotbut when you have to wait 15 minutes to order and another 15 minutes to receive the order plus bad attitudenot a good mixtry two cashiers when you got 4 people or more in one linethat would cut the first 15 minutes
flavorless cardboard and meat like substance  unfit for human consumption    i gave irvine last try and it is worse than ever,flavorless cardboard and meat like substance  unfit for human consumption    i gave irvine last try and it is worse than ever
this is the only burger place within 5 minutes of my office so i have been going here to pick up my lunch before starting work however this morning i get there at 1025 because i have to be at work at 1035 i try to order a chicken wrap and i am told they cannot take lunch orders until 1030 now up until recently i worked in the food industry for 14 years as a manager and i understand the reason for these time frames for breakfast and lunch but at 5 minutes till i can get a wrap so i can make it to my office with lunch on time i asked the order taker if they could please help me out it was only 5 minutes and they flat out refused outstanding customer service guys would not be going back there is a vons a port of subs a panda express an ensteins bagels 2 pizza places and a couple of other restraunts all in the same shopping center so just keep pushing business away to your competitorsmonday june 9 2014 1045 am, This is the only burger place within 5 minutes of my office so i have been going here to pick up my lunch before starting work . this morning i get there at 1025 because i have to be at work at 1035 i try
this is hands down the worst mcds locationi keep saying i wont go back but i think what keeps me going back is that living in the heart of summerlin there is not much of an option besides the burger king on town centerthe drivethru is always so so so long and the workers at the window are so slow and seem like it is their first day every time my order is never right i order a mcgriddle and get a mcmuffin wth the food is either overcooked or not accurate what is with the coke it always and i mean always tastes weirdi have sent an email through the website complaining and they said since nobody else complained about the coke it must be fine wrong if you get the nasty coke please send them an email if enough people complain they might actually do somethingi usually go to the location on charleston but since this one is so close i do still come here when i have coupons but i make sure and go inside where i can verify my order, this is hands down the worst mcds location i keep saying i wont go back but i think what keeps me going back is that living in the heart of summerlin there is not much of an option besides burger king on town centert
i do not know what it is about this mcdonalds it is like kids run the joint not that they are not friendly but too many of them just are not professional and seem to think the customers are part of their entertainment this job is basically an extension to their social life it is a problem, i do not know what it is about this mcdonalds it is like kids run the joint . Too many of them just are not professional and seem to think the customers are part of their entertainment this job is basically an extension to their
service is terribly slow orders have never been correct manager oscar is trained in a third world country i have boycotted this location for the last year and i live and work within walking thistance of this place i would much rather go out of my way and give my money to the boca park location, i would much rather go out of my way and give my money to the boca park location . service is terribly slow orders have never been correct manager oscar is trained in a third world country .
this was the worst mcdonalds in all of las vegas my daughter wanted a breakfast burrito and i needed a coffee 1 car in front in of me and 23 minutes stuck in the drive thru whos the manager i didnt see one person that was capable of being in charge of running that place next tiem i decide to go to mcdonalds by my job i will hop on the freeway and go to another one and still return to work faster then running across the street to this one," This was the worst mcdonalds in all of las vegas, Las Vegas . My daughter wanted a breakfast burrito and i needed a coffee . 1 car in front in of me and 23 minutes stuck in the drive thru ."
honestly mcdonalds is a mcdonalds but i have never been to one so slow went in to grab some breakfast and although no one was there it still took 20 min the fact that i keep coming back is just because it is close,honestly mcdonalds is a mcdonalds but i have never been to one so slow went in to grab some breakfast and although no one was there it still took 20 min the fact that i keep coming back is just because it is close
went through the drivethru today at about 1115 am for lunch ordered the habanero quarter pounders and a caramel sundae sundae machine was down so no sundae i should have taken that as an omen and just left got the promo to buy a quarter pounder  get one free when i went to eat my sandwich i had to search for the habanero sauce just a touch was on the bun and the burger was dry as hell and tasted like it had been reheated from the day before i took one bite and could barely chew it i threw them both away what a waste of gas and time never going to this place again  awful, The burger was dry as hell and tasted like it had been reheated from the day before i took one bite and could barely chew it i threw them both away what a waste of gas and time never going to this place again .
i do not know what the deal is with this location but they are ridiculously slow even if my order is a pre made salad and iced coffee and there is no one else in the drivethru lane it still takes forever,i do not know what the deal is with this location but they are ridiculously slow even if my order is a pre made salad and iced coffee and there is no one else in the drivethru lane it still takes forever
do not tell anyone but i like mcdonalds coffee better than starbucks i rather have mcdonalds coffee over any other coffee in the world this mcdonalds location would have gotten 5 stars about 3 months ago but things have changed a few months ago the workers were really cool but now they have all just gotten really fcking weird it is almost like one of those 1980s bhorror movies where one of the workers gets infected with the zombievampirewerewolf virus and then comes to work the next day and spreads it to all his coworkers that is the only logical explanation because every worker here has transformed into mcdumbassesi want to remind you that this is summerlin so that means that everyone runs stop signs no one yields for pedestrians and everyone argues over the stupidest most insignificant things watch out when you are entering this drivethru because there is a huge chance that some douchebag in a bmw will run the stop sign in order to cut in front of youwhen i drove up to the box there was no answer about 2 minutes later i begin hearing a ton of static and then this bizarre sounding guy starts talking in this strange tone he sounded like a drunk orson wells when i pulled up to the first window to pay the window slowly slid open to reveal the face of a morbid looking kid with gigantic dilated eyes and one of those horror movie smiles immediately he lets out this high pitched reeehhhhhhhhhhhhhh noise at me at that particular moment due to the fear of manrape i thought about driving over the planters and escaping but he looked so weird that i came to the conclusion that he might have some kind of paranormal super powers and would catch me no matter how fast i drove so i just sat there and awaited my fate after about 23 seconds he told me how much my coffee cost in a thisturbingly soft tone voice and thankfully he did not serve me mcrape when i drove up to the pickup window i was greeted by an anorexic looking latino kid who did not even give me eye contact and while holding the coffee he sticks his arm out the window and just drops it before i even have the chance to reach out to grab it it was a miracle that i caught the thing in mid air i was glad to get the mcfck out of there, A few months ago the workers were really cool but now they have all just gotten really fcking weird . It is almost like one of those 1980s bhorror movies where one of the workers gets infected with the zombievampirewere
awful service and extremely slow go elsewhere,awful service and extremely slow go elsewhere
i love mcdonalds grew up on it and still take my boys there regularly and i have to say this the location off of the circle in summerlin really has some hard times keeping up the place always seems to be a bit dirty both in the lobby and behind the counter i dread getting a quick bite with the boys when we are in a hurry as they are never fast in the drive thru but the food is always just as good at any other mcdonalds so they do have that going for them it is literally though one of the slowest mickey ds i have ever been to and this is not just one experience i go very regularly because as i said i love it and this one is the closest to me so for convenience but sometimes i wonder if it would be faster to drive seven minutes out of my way to another mcdonaldstheir employees are so nice though just not the best on the speed side of thingsmaybe they will get better, i love mcdonalds grew up on it and still take my boys there regularly . The location off of the circle in summerlin really has some hard times keeping up . The place always seems to be a bit dirty both in the lobby
i have never tried a mcrib sandwich and i heard via the talk threads that mcdonalds in las vegas started serving them the other day so i took my son here to give this legendary sandwich a trywe ordered two mcrib meals sandwich fries soda 419 i also wanted to try the 1 spicy mcchicken sandwichthe verdicti did not like the mcrib at allblech the sauce was the best part about it other than that it was pretty bland the fries were good of courseand the spicy mcchicken sandwich was decent not bad for 1overall it was a complete waste of calories i am not dinging mcdonalds for my stupid curiosity so they get 3 stars the mcdonalds experience was aok did i find value in my meal not todaymy fault thoughwill i return i would come back again to order something i enjoy, i have never tried a mcrib sandwich and i heard via the talk threads that mcdonalds in las vegas started serving them the other day so i took my son here to give this legendary sandwich a try . The sauce was the
