summarized_reviews,sentiments
 i hate coming here i think they have new management or something because everyone who was there before is not they never get the order right . The drive thru has lines all the way out to the street . The play place is so filthy and,"{'label': 'NEGATIVE', 'score': 0.9995678067207336}"
 Super slow been here 6x and they never get my order right will never come back here i always ordered well done fries and i always get saggy fries that probably been sitting around for more than an hour . When i went to pay,"{'label': 'NEGATIVE', 'score': 0.9990390539169312}"
not a bad mc donalds as far as this chain goes i have visited this location multiple times the food is hot and service is speedy the staff is courteous,"{'label': 'POSITIVE', 'score': 0.997156023979187}"
 terrible mcdonalds their food is always undercooked and cold . The burger was cold so were the fries and the fries we gave them the benefit of the doubt .,"{'label': 'NEGATIVE', 'score': 0.9997304081916809}"
this place is dirty bunch of high school kids works here which they do not care about service,"{'label': 'NEGATIVE', 'score': 0.9992133378982544}"
 came here because i had to feed my daughter and well we love mcdonalds so while waiting for my mom which i dropped her off at valley hospital i decided to go through the drive through . ordered a kids meal and 2 big mac,"{'label': 'NEGATIVE', 'score': 0.9608689546585083}"
went here after work for a quick mickey d fix i had order a 6 piece chicken nuggets meal sorry to say but i think it will be my last time here do not get me wrong the food tasted fine by my insides did not think so,"{'label': 'POSITIVE', 'score': 0.989615797996521}"
 The mickey ds breakfast vibe was strong in the work space and several of us were looking for some extra calories to fuel the early morning mental dash .,"{'label': 'POSITIVE', 'score': 0.9976605176925659}"
 upon my last visit ewww all i can say is ewwww these people at this location oh lord baby honey child they just give you cold fries and old stale chicken nuggets . The outside of the bag was all wet and sticky,"{'label': 'NEGATIVE', 'score': 0.9995008707046509}"
 french fries were cold both times i ordered a premium chicken wrap with crispy chicken last week and received grilled chicken . The receipt had it right so it was the line cooks who got it wrong today i ordered chicken mcnuggets as a combo,"{'label': 'NEGATIVE', 'score': 0.9959536790847778}"
 When you need a fast bite breakfast lunch or dinner so you can hit the road this mcdonalds is right off the 15 fwy on charleston in the downtown area . It is clean no bad people and a fast drive thru,"{'label': 'POSITIVE', 'score': 0.9977637529373169}"
 i was not impressed with my visit this time to this location suprisingly it was by someone who is a shift manager who was working the window . It took her several tries to get my order right then when i get to the window she,"{'label': 'NEGATIVE', 'score': 0.9987394213676453}"
 i used to go to this one a lot when fast food was a regular staple in my diet in my 20s when my metabolism was faster and when exercise was not such a priority this is one of the older ones in town recently .,"{'label': 'POSITIVE', 'score': 0.7172630429267883}"
 i do not think this mcd has ever been remodeled other than a badass painting of the mckingdom there was another thing hanging on the wall which was pretty much a quilt with like cactus cacti sewn in,"{'label': 'NEGATIVE', 'score': 0.9954994320869446}"
 i was kinda upset during my last visit here normally i pay using my debit card but on this occasion i had cash so here comes the thisappointment as the cashier goes to hand me my change she drops some of it note .,"{'label': 'NEGATIVE', 'score': 0.9890417456626892}"
 i think that the preparation was a tad lacking i used to work at a mc ds when i was in high school it was the perfect job for a kid anyway my filet was lopsided it was half way off the bun,"{'label': 'NEGATIVE', 'score': 0.9994685053825378}"
employees here really take pride in their restaurant they made sure the dining area was clean and their napkins and ketchup station was stocked up and clean well organized restaurant great job,"{'label': 'POSITIVE', 'score': 0.9996926784515381}"
 There really is only one reason for you to go to a mcds on the strip you're hungry andor drunk . This is a pretty nice one clean and modern with a lot of staff working all the timethis place has one,"{'label': 'POSITIVE', 'score': 0.9967877864837646}"
 Only one register open with 20 drunk people in line . Pick up here takes about 15 mins to get your food the slowest mcdonalds i been to the dinning area is not as clean one thing the restaurant is very trendy and,"{'label': 'NEGATIVE', 'score': 0.9988284707069397}"
 My friends almost got their car towed and they were eating there they ran out as the ass hole tow guy was lifting it would not put it down . After getting home they contacted corporate and got their money back . Anyone having their vehicle towed,"{'label': 'NEGATIVE', 'score': 0.9982883334159851}"
 beware of this mcdonalds you are constantly under surveillance in the parking lot i parked my car had breakfast and then had to go drop something off to a friend within 30 min when i got back they had my car towed wtf it,"{'label': 'NEGATIVE', 'score': 0.9980196952819824}"
 Like all other mcdonalds the service quality is going down the tubes my son was getting a drink at the drink station when an older guy in his 60s was moping the floor and told me son to move it in a very,"{'label': 'NEGATIVE', 'score': 0.9934139847755432}"
they are making this the worst vegas experience towing 300 dollars for 15 minutes why instead they do not have someone giving information they are making money attacking travelers,"{'label': 'NEGATIVE', 'score': 0.9997782111167908}"
the only reason i came back is because they gave me free food after the fiasco from last night,"{'label': 'NEGATIVE', 'score': 0.9988627433776855}"
fast a little toooo fast,"{'label': 'NEGATIVE', 'score': 0.946483314037323}"
 i ordered a quarter pounder with cheese combo and asked to make it large my wife simply ordered a small drink and a mcflurry . i was also only given one small cup when i asked where my large drink cup was i was,"{'label': 'NEGATIVE', 'score': 0.9968076944351196}"
 i was surprised at the huge size and grand design of the building lines were orderly service was quick and our food was unusually fresh and neat .,"{'label': 'POSITIVE', 'score': 0.9998264908790588}"
 There will be a sparse amount of homeless but they do not seem to bother anyone . If you stay at the riviera hotel across the street you are probably going to stop into this mcdonalds for it is wifithis,"{'label': 'NEGATIVE', 'score': 0.9937892556190491}"
 i would avoid this place on the weekends it was too chaotic we went on a saturday morning around 11am . The workers call your numbers when your order is ready however there needs to be a better system .,"{'label': 'NEGATIVE', 'score': 0.9994982481002808}"
 i parked my car in their lot and had some subway sandwiches at the next door and got back to the mcdonalds getting some deserts just after i left the door my wife and i got shocked they towed my car it happened just in,"{'label': 'NEGATIVE', 'score': 0.9945119619369507}"
 The new mcdonalds location is located in the heart of the city's culinary mecca . The restaurant is located near the restrooms and the restrooms .,"{'label': 'POSITIVE', 'score': 0.9971330165863037}"
 i gotta give a shout out to this mcdo staying at the encore in vegas a bunch of girls lounging around in our pjs lagging on getting ready to hit up the clubs . Two of my girlfriends and i,"{'label': 'NEGATIVE', 'score': 0.7285854816436768}"
 The wifi provided by att sometimes works just like their cellular reception so no surprise there i am a frequent visitor here to grab drinks  work before visiting hotels .,"{'label': 'NEGATIVE', 'score': 0.9942461848258972}"
 i am not a fan of fast food but sometimes a girls gotta eat late i came here after my long flight from honolulu and i was pretty darn hungry . The bacon chicken was not bad the salad was still fresh and the chicken was,"{'label': 'POSITIVE', 'score': 0.985780656337738}"
 i should have known better i can count on one hand the number of times i have been to mcdonalds in the past ten years however my choices were extremely limited so i thought i would give it another shot . The staff was unpleasant,"{'label': 'NEGATIVE', 'score': 0.9995899796485901}"
worst mcdonalds i have ever been too we ordered mocha frape a vanilla latte and 6 cookies and we waited for 15 mins and 3 wrong drinks after but they gave us an extra drink because of it,"{'label': 'NEGATIVE', 'score': 0.9970366954803467}"
was told at 5am that burgers arent made until 4pm by some chubby ogre latinastay in school kids,"{'label': 'NEGATIVE', 'score': 0.9991664886474609}"
 i do not understand the people that complain about the service or food from mcdonalds what do you really expect go somewhere else if you want better service or literally go anywhere else but do not complain you know what you are getting yourself into,"{'label': 'NEGATIVE', 'score': 0.7596524357795715}"
please people if you are looking for a fast food to eat do not go to this place 15 minute for a simple double cheese burger employees work slower then my grandma,"{'label': 'NEGATIVE', 'score': 0.9970211386680603}"
 mcdonalds breakfast is not sold nearly long enough for breakfast . The location is convenient to the convention center . The coolest thing about this location was the deco .,"{'label': 'POSITIVE', 'score': 0.6673404574394226}"
 The worst service i have encountered in a mcdonalds so far in the continental usa no not because i thislike the food but because the employees here are irresponsible forgetful and unapologetic . The staff at this particular mcdonald,"{'label': 'NEGATIVE', 'score': 0.9997392296791077}"
i am a mclover and i had no problemwith the workers but i have a problem waiting more than 30 minutes for my cheeseburger they werent even busy this was my first and last time at this location,"{'label': 'NEGATIVE', 'score': 0.9734523892402649}"
cold terrible cardboard on a bun trashy service homeless people drinking 24oz cans of natural ice inside the place,"{'label': 'NEGATIVE', 'score': 0.9993178844451904}"
 McDonald's is located just a couple of blocks from the hotel i stayed at in las vegas  an embassy suites hilton property .,"{'label': 'NEGATIVE', 'score': 0.565610408782959}"
 i agree with douglas this is one of the best mcdonalds in las vegas i stopped here for a quick ice cream last night and i was immediately impressed with the newness and nice design of the placethe staff took my,"{'label': 'POSITIVE', 'score': 0.9998356103897095}"
truly thisgusting place,"{'label': 'POSITIVE', 'score': 0.9142799377441406}"
 this place sucked i ordered a sausage mcmuffin and the cashier was slow in making it she even forgot the harshbrowns that were included in the meal . The ketchup thispenser sprayed everywhere and went on my shirt,"{'label': 'NEGATIVE', 'score': 0.9991010427474976}"
went here to get some cookies for a friend the drive thru person lamoni sucked and could not tell the difference from coffee to her asshole also a car broke down in the drive thru,"{'label': 'NEGATIVE', 'score': 0.999724805355072}"
 the service here was terrible they got my breakfast order wrong three times each time with the same exact mistake . The morning cashier there dalia did not even attempt to move a muscle to get me the right order .,"{'label': 'NEGATIVE', 'score': 0.9996236562728882}"
one of best mcdonalds in vegas always very clean great service  close to the las vegas strip,"{'label': 'POSITIVE', 'score': 0.9997923970222473}"
 i try to steer clear of fast food when i can but sometimes they just sound so delicious or they are the most convenient to have . The drive thru is also open 24 hours so they are very convenient if you need calories late at night,"{'label': 'POSITIVE', 'score': 0.9972434043884277}"
 Fast food typically just is what it is but this particular mcdonalds was awfulthe service was terrible . The cashier had an attitude not only with me but pretty much every customer that came through her line in the 15 minutes,"{'label': 'NEGATIVE', 'score': 0.9997026324272156}"
this is the absolute worst mcdonalds i have ever been to in my entire life this place was filthy nearly every empty table was littered and in our 30 minutes there no one came to clean the dining area owner should be ashamed and management fired,"{'label': 'NEGATIVE', 'score': 0.9997065663337708}"
 Worst service and food i have ever experienced at mcdonalds l have ever been tocompletely wrong order ignored at counter when trying to get corrected and even then wrong order and yet again ignored .,"{'label': 'NEGATIVE', 'score': 0.9997339844703674}"
 Worst service i have ever experienced i know what can i expect coming from a fast food but still first at drive thru i asked for sauce and he gave them to me with no hesitation . He drops a sauce and i ask for another one,"{'label': 'NEGATIVE', 'score': 0.9957656860351562}"
 i was craving a chocolate milkshake a few days ago so this was the nearest mcdonalds that was in my travel route . i decided to go thru drive thru and full fill my cravings i also got nuggets and fries,"{'label': 'NEGATIVE', 'score': 0.9731041193008423}"
extremely terrible service they could not get my order right the first time like seriously how hard is it to get a couple sandwiches right,"{'label': 'NEGATIVE', 'score': 0.9996689558029175}"
worst mcdonalds evertweekers spare changing freely some lady threatened to beat another ladys ass following her around yelling dirty drink area etc the building looks good as the only good point i will never return to this location if i can avoid it,"{'label': 'NEGATIVE', 'score': 0.9950897097587585}"
grabbed quick breakfast service was slow and the dining room was filled with the joyful abundance of homeless and just crazy people of las vegasas said before coffee was warm at best my egg mcmuffin without sausage was cold and greasy,"{'label': 'NEGATIVE', 'score': 0.9175809621810913}"
 Customer causing a minor thisturbance and was rude and the girl which appeared to be a manager of some sort was behind the counter and got upset naturally of course she went and handled the customer waited for him to come out of the,"{'label': 'NEGATIVE', 'score': 0.9827485680580139}"
 This is the only fast food restaurant this specific location in the history of fast food restaurants that has delivered a grilled chicken sandwich that actually looks like the item on the menu instead of a smashed piece of baby food .,"{'label': 'POSITIVE', 'score': 0.751410722732544}"
mixed up order forgot fries crispy chicken instead of grilled put mayo in sandwich when asked for it on the sidecash only for drive through but accepted credit when dining in,"{'label': 'NEGATIVE', 'score': 0.9223496913909912}"
 i left the hilton late last night and i was really thirsty this was an easy inout option for me from sahara i did the drive through and was on my way with a diet coke in about 2 minutest,"{'label': 'NEGATIVE', 'score': 0.9828009605407715}"
 out of the thousands of restaurants in vegas i had to pick a mcdonaldswell its a cheap eat its right across the sahara hotel and its design is like one of those classic type mcdonalds back in the 50,"{'label': 'POSITIVE', 'score': 0.8677578568458557}"
1st to reviewhow can this be a classic mcdonalds offthestrip at parathise rdsahara ave behind the sahara casinocoolest thing about this location is their collection of mcdonalds happy meal toys and the 50s style look  feelthey have a 50s chevy out front for taking photosunfortunately the same boringtasteless food,"{'label': 'NEGATIVE', 'score': 0.9949333071708679}"
food is good as always cool design outside and single golden arches make this a cool spot to hit up after the club or gambling on the strip,"{'label': 'POSITIVE', 'score': 0.9998553991317749}"
" Air conditioned and yummy most satisfying mc ds i have had, says reviewer . ""Wow this place was so good after the night was over""","{'label': 'POSITIVE', 'score': 0.9997252821922302}"
 5 for a 20 pack of chicken mcnuggets at 3am when everything else in the food court was closed . A quick way of grabbing something for less than 5 when not needing a full meal during the day .,"{'label': 'NEGATIVE', 'score': 0.9846290349960327}"
 i cannot give a 4 or 5 star rating for any junk food place such as mcdonalds their food is not fresh but frozen so really the only rating aside from food is the cleanliness staff etcthis place is packed and under,"{'label': 'NEGATIVE', 'score': 0.9859323501586914}"
i was thirsty and decided to get a drink mcdonalds is the best place to get something cheap especially when youre on the strip,"{'label': 'NEGATIVE', 'score': 0.9570627212524414}"
 i needed a quick breakfast before catching my flight back to new york this mcdonalds was located inside my hotel in the food court section . i ordered my orange juice sausage biscuit some pancakes and on my way i went it was,"{'label': 'POSITIVE', 'score': 0.8827426433563232}"
no hot mustard ,"{'label': 'NEGATIVE', 'score': 0.997658371925354}"
 A busy day i did not have time for a healthy lunch i saw a mcdonalds so i decided what the heck im in a hurry and i m kind of hungry my order took forever . My fries were medium warm as was my,"{'label': 'NEGATIVE', 'score': 0.9885442852973938}"
 i live in las vegas and will often take family to the strip when they come to town . We were looking for a late night bite to eat and decided on mcdonalds since it was right in the hotel the servers were incredibly,"{'label': 'POSITIVE', 'score': 0.5995155572891235}"
the oatmeal was good the fruit was crisp and the raisins plump the sweet tea was fresh,"{'label': 'POSITIVE', 'score': 0.9997807145118713}"
i work in the area and have eaten here several times i can attest to the fact that this is one of the worst mcdonalds to eat atyou can at least be sure of consistent service consistently lousy consistently noisy and consistently dirtyonly eat here as a last resort,"{'label': 'NEGATIVE', 'score': 0.999747097492218}"
 this is by far the worst service i have ever had in any fast food restaurant . The only thing worse than having to walk through the excalibur is walking by that stink hole .,"{'label': 'NEGATIVE', 'score': 0.9996261596679688}"
 The customer service of this place is atrocious . The only 24 hour operation that offers more than donuts and coffee so change your attitude . If you are ok with mcdonalds go to the one at the luxor you will probably,"{'label': 'NEGATIVE', 'score': 0.9974084496498108}"
this is a lousy mcdonalds so slow so surly once you finally get the food it does not even seem to matter anymore,"{'label': 'NEGATIVE', 'score': 0.9997274279594421}"
horrible service not friendly at all i asked for a couple of sauces they told me i would have to pay 52 cents what happened to customer service worst mcdonalds i have been too cheesy move on their part giving them one star is being generous,"{'label': 'NEGATIVE', 'score': 0.9989390969276428}"
 excalibur is the only late night eatery available between the hours of 0200 and 0600 is mcdonalds starbucks and krispy kreme . The first night they ran out of butterfinger topping for a mcfl,"{'label': 'NEGATIVE', 'score': 0.998704195022583}"
 the mcdonalds chronicleshooray for free refills . The place is clean and is a good affordable rest before putting the feet down .,"{'label': 'POSITIVE', 'score': 0.9946243166923523}"
 this mcdonalds is located inside the excalibur hotel and was one of the worst experiences i have ever had at a mickey ds we wanted a quick breakfast at around 930 am so my friend decided to grab some for,"{'label': 'NEGATIVE', 'score': 0.9997349381446838}"
 this mcds was not too bad not too busy when we went to grab some late breakfast you cannot beat the dollar menu either . 1 salad from there is nutritionally equivalent to eating something from quiznos which my friend had in the,"{'label': 'NEGATIVE', 'score': 0.9453744292259216}"
 During the summer months it turns into a sobering uphook up spot for drunk half naked female ditch fridays patrons . It is the best eye candy youll find at a micky ds .,"{'label': 'POSITIVE', 'score': 0.9990586638450623}"
this is probably the worst mcdonalds ever they do not know what they are doing at all ice cream machine is always broken customers always waiting food always takes forever even with 3 people in the kitchen i do not understand why they are still open,"{'label': 'NEGATIVE', 'score': 0.9997090697288513}"
nasty ass restaurant burnt ass chicken nuggets and the dumbasses working did not want to give me new ones,"{'label': 'NEGATIVE', 'score': 0.9996923208236694}"
 just left here screwed up my order 3 times when i was the only customer there and then gave me attitude because i kept returning with wrong items . The art of fast food baffles me totally makes me lose hope in humanity .,"{'label': 'NEGATIVE', 'score': 0.9952974915504456}"
could not get a chocolatedipped cone because they shut off the ice cream machine at midnight wtf,"{'label': 'NEGATIVE', 'score': 0.9994400143623352}"
this is for the mcds inside the palms food lobby 50 chicken nuggets for 10 dollars that is all you need to know six stars,"{'label': 'NEGATIVE', 'score': 0.9965750575065613}"
i had only eaten at 1 mcd previously in my life but zak r got me to try the hash browns here and i have to admit they are delicious cinnamon buns were no cinnabuns but surprisingly fluffy and yummy,"{'label': 'POSITIVE', 'score': 0.9988663196563721}"
blehbad mcdonalds foodslow serviceand never get orders right ever,"{'label': 'NEGATIVE', 'score': 0.9986293315887451}"
 i am definitely a fan of this mcdonalds tucked on the side of a terribles gas station and convenience store before it is gone .,"{'label': 'NEGATIVE', 'score': 0.9971485733985901}"
 idiot at the counter forced me to buy a quarter pounder with cheese because he did not understand what buy one get one any large sandwich meant .,"{'label': 'NEGATIVE', 'score': 0.9998039603233337}"
 stopped in in the early morning hours knowing full well i would need some serious calories for the hours ahead . The chow was exactly as mcds doesaok .,"{'label': 'NEGATIVE', 'score': 0.979850709438324}"
i am drunk i come here and order a hot and spicy  sub the mannaise with mac sauce and 2 breakfast burritos tell me why i did not get any hot and spicy what the fudge,"{'label': 'NEGATIVE', 'score': 0.9986963868141174}"
 Worst mcdonalds i have ever been to i never write bad reviews but i have to let this one out i keep coming back because it is the closest to me and i have been hoping that eventually they will get my order right .,"{'label': 'NEGATIVE', 'score': 0.8752155900001526}"
quarter pounder was really dry and bun was like a cardboard had to wait for workers to stop playing around in the back so someone could refill our sweet tea because they we out at the refill station only gave it one star because the place was clean,"{'label': 'NEGATIVE', 'score': 0.999424934387207}"
 This location really gives the brand a bad name . Complaints to management here go on deaf ears .,"{'label': 'NEGATIVE', 'score': 0.9998094439506531}"
 i love mcdonalds duh but i am eating my mcchicken and the bun is hard which usually happens after 9pm . i also ordered big mac and 20 pc chicken nugget when we got to the window i asked,"{'label': 'NEGATIVE', 'score': 0.9924220442771912}"
no milk for the coffee only cream no wonder everyone is fat get my coffee and it is half full awesome all in all all micky ds in vegas suckon a side note the new oatmeal is pretty damn good,"{'label': 'POSITIVE', 'score': 0.9995368719100952}"
how sad if you yelpers do not give mcdonalds 5 stars you are on crack this place is gods gift to the world long live the big mac,"{'label': 'POSITIVE', 'score': 0.9986112117767334}"
 About as average as your local mcdonalds can be this one is right up middle alley not great but not spectacular either i just find it surprising the skinnyrichie people up here in summerlin keep this place busy .,"{'label': 'NEGATIVE', 'score': 0.9190326929092407}"
 i went to this location a couple of weeks ago this is how my visit wenti pulled in the drive thru a few minutes before 1030am just in time for breakfast . i was craving breakfast so i let them know i wanted to,"{'label': 'NEGATIVE', 'score': 0.9873802661895752}"
 Both times i went there was around 3am there was no signs saying they were closed so i sat there for a few minutes in the drive thru then i said hello twice then someone responded saying we will reopen at 4am . i was,"{'label': 'NEGATIVE', 'score': 0.9872245788574219}"
 i have been to this drive through 3 times i order simple things like a big mac meal or a couple burgers and fries yet some how they have never gotten my order correct . The burgers were damp and had pickled jalapeios,"{'label': 'NEGATIVE', 'score': 0.9991982579231262}"
 The drivethru window did not say anything to us when we went to the drive thru window or when we picked up the coffees not one word we said thank you at each window . seriously this probably was the least friendly mc,"{'label': 'NEGATIVE', 'score': 0.9993428587913513}"
 i ordered an iced drink  the drive thru the guy  the guy never said hi or thanks i thought my drink was just wet on the outside  within minutes my plastic cup was sticky by the time i got home my hands were,"{'label': 'NEGATIVE', 'score': 0.9985034465789795}"
 this is the 2nd closest mcds to my house the closest one is so inconsistent that i come to this one more often . The drive thru can be long and they often run out of cinnamon melts but the food is at least the,"{'label': 'NEGATIVE', 'score': 0.9801592826843262}"
 mcdonalds is suppose to be a family joint right especially when they have the playland well how is it that this place knowing people come with kids off all ages not have a changing table in the restroom . At least this place is,"{'label': 'NEGATIVE', 'score': 0.9348750114440918}"
 This was by far the most thisgusting mcdonalds i have ever been to do not go here . Not a single table was clean there was trash all over the floor not a single customer service person smiled . There were no l,"{'label': 'NEGATIVE', 'score': 0.9926674962043762}"
micky ds should all be the same but this one in the 10 plus year i have been going there has about the most stand offish unfriendly people ever it starts from the top so i guess the owners just do not care if there employees are unfriendly,"{'label': 'NEGATIVE', 'score': 0.9983338713645935}"
 i would have given this 5 stars if not for the fact that the chucklefuck drive thru staff randomly leaves work at 10 when it closes at 11 and when they are working do some fucked up thing .,"{'label': 'NEGATIVE', 'score': 0.9978347420692444}"
 i have been through in on a number of occasions and have never had a problem . Food is typical mcdonalds and it is always hot so nothing to complain about here the drive through is usually fast .,"{'label': 'POSITIVE', 'score': 0.994360625743866}"
 The set up of the drive through makes for a real pain during peak lunchtime hours . The service is usually friendly and prompt although the new guy they have in the drive thru is a tad too chatty .,"{'label': 'POSITIVE', 'score': 0.9757826328277588}"
 The food is standard but they did not give us our drinks with creamer our order was wrong the food oatmeal came without enough spoons for the orders count . We had to go back 3 times for condiments and they thish,"{'label': 'NEGATIVE', 'score': 0.9972846508026123}"
maybe it is just me but it seems like the staff at this location is not all that friendly,"{'label': 'NEGATIVE', 'score': 0.9998051524162292}"
i stop here now and then as it is the closest to where i live customer service used to be awful but ti seems like they have gotten a bit better today i got a side salad and a shamrock shake everything was aok,"{'label': 'NEGATIVE', 'score': 0.978293776512146}"
 The new popcorn style chicken is worse than kfcs popcorn chicken was before they made larger pieces in fact most of my box was just fried coating with little or no chicken . Avoid the angus burgers they are not as good as advert,"{'label': 'NEGATIVE', 'score': 0.9997420907020569}"
 i cannot remember the last time i ate food from mcdonalds ice cream cones do not count and neither do desperate breakfasts on the road with a band . i do not think it will kill you it has not killed me yet,"{'label': 'NEGATIVE', 'score': 0.9734926819801331}"
 After yet another night of insane vegas partying  and enjoying alcohol aflowin  we got the munchies where did we decide to go when it is late and you want something cheap and easy? Very little tops fast food .,"{'label': 'NEGATIVE', 'score': 0.990429162979126}"
 Power tripping mgr told me and my son that we could not fill my starbucks cup up with water . She said because of cross contamination it was a self service soda machine so that argument does not really fly since everybody using the,"{'label': 'NEGATIVE', 'score': 0.999656081199646}"
i like this particular mcdonalds service is generally fast and courteous and i have never had a problem the many times i have been here i usually order the number 2 meal and it is always prepared the way it is supposed to be,"{'label': 'POSITIVE', 'score': 0.9990546107292175}"
 this place really is hit or miss on the servicethe food cheap that is why you go here period . The service like i said on  off sometimes they mess up they are busy cause of that heaven sent dollar menu love hate relationship guys,"{'label': 'NEGATIVE', 'score': 0.9993938207626343}"
 The management at this fast food branch should be fired as well as the employees who seem to think that yelling at customers and treating them poorly is okay to do . This location has inconsistant food and horrible service .,"{'label': 'NEGATIVE', 'score': 0.9997925162315369}"
 Drive thru is slow when i pick up breakfast for the office this is usu the place but just to warn every1 i think going in is faster but if you have a big order you may get the stink eye from the other customers,"{'label': 'NEGATIVE', 'score': 0.9987435936927795}"
 Using my 21 coupon i tried the new strawberry frozen lemonade . i must say that i had a smoothie here when they came out months ago and they are horrible and way too sweet sonic has better ones .,"{'label': 'NEGATIVE', 'score': 0.9993778467178345}"
small but clean staff is rude remember the show seinfeld instead of a soup nazi the woman maybe the manger is a condiment nazi,"{'label': 'NEGATIVE', 'score': 0.9888834357261658}"
 McDonalds has not the best reputation but this has been the worst fast food experience of my lifetime .,"{'label': 'NEGATIVE', 'score': 0.9997789263725281}"
food is good but staffservice is horrendous every single time i go there they mess up my order in my opinion they need to hire all new staff and when i complained i got attitude from the manager worst mcdonalds,"{'label': 'NEGATIVE', 'score': 0.9988790154457092}"
 The seating is a bit strange as they have replaced the normal tables and benches with what looks to be an attempt for a more modern look but it makes the seating a bit uncomfortable . The food tastes like standard mcdonalds food and the,"{'label': 'NEGATIVE', 'score': 0.9978535771369934}"
 McNoodles went on sale at its austrian restaurants in a test set to last two to three month test . The meals feature noodles with vegetables chicken salad and either sweetandsour or curry sauce and will cost around 499 euros 656,"{'label': 'NEGATIVE', 'score': 0.9951756000518799}"
came here on a short refeul from gambling all nightmorning  breakfast never tasted so good that i can rememberbottomline it seemed pretty clean in here it is a mcdonalds,"{'label': 'NEGATIVE', 'score': 0.9920712113380432}"
 i wouldnt give any stars if i could we were in line through the drivethru for 5 minutes the lady asked us what we wanted and we started to order then all of a sudden she says hold on couple pulled up behind us,"{'label': 'NEGATIVE', 'score': 0.9635648727416992}"
rude staff and cold fries i would have given one star but the inside looks nice modern and clean my friend was told she could get iced coffee with her meal with no extra charge then was charged 1 extra,"{'label': 'NEGATIVE', 'score': 0.5763221979141235}"
 The people watching at this place is wonderful the abundance of tweekers and crackheads is amazing with that aside it is a mcdonalds that is all i have to say about the food the food was not good at all . The,"{'label': 'POSITIVE', 'score': 0.9994476437568665}"
very slow taking the order and giving me the order when it was done it was the middle of the night and a few people there,"{'label': 'NEGATIVE', 'score': 0.9994344115257263}"
the worst mcds ever took 20 min for 2 coffees  they could not get it right everything about it was bad slow irritating,"{'label': 'NEGATIVE', 'score': 0.9997357726097107}"
 If i could give no stars that would describe this store manager was very rude order was not correct and tried to say that is what we ordered i asked for my money back and to cancel the order and was told no refund . i did,"{'label': 'NEGATIVE', 'score': 0.9997100234031677}"
sad to say i have seen worse it is convenient and relatively fast just not clean as it could bethe staff here are almost as depressed as the homeless people you find hanging around it,"{'label': 'NEGATIVE', 'score': 0.9996236562728882}"
 i like this location because it is an easy to get just off the strip location it is perfect for a quick inexpensive breakfast drivethru . The interior is harleydavidson themed for those that like to look at things while they,"{'label': 'POSITIVE', 'score': 0.9977759718894958}"
 i usually have no issues coming here i usually come in the morning before work for coffee this time i came with my family and ordered four meals with iced coffees . i asked the drive thru lady for a couple packs of mayonna,"{'label': 'NEGATIVE', 'score': 0.8850279450416565}"
 this mcdonalds is a dirty busy and chaotic experience typically there is one register open and when your number is called for your order youre missing a drink or too . The bathrooms are also dirty and missing the feminine waste receptacles in,"{'label': 'NEGATIVE', 'score': 0.9997238516807556}"
 Worst mcdonalds by far it always smells like sewage and the food is alway old . Only a small amount of great employees here .,"{'label': 'NEGATIVE', 'score': 0.9996957778930664}"
 this location is extremely slow the order is usually wrong and the food taste old . The food is old and the fryer oil does not change its oil often enough . There are better ones around .,"{'label': 'NEGATIVE', 'score': 0.9989666938781738}"
always busy food usually cold sigh,"{'label': 'NEGATIVE', 'score': 0.9990164041519165}"
 i totally understand that this is mcdonalds and you get for what you pay but the professionalism here needs major work while i am waiting for my food . i thought going inside would be faster since there was a line of cars circling that,"{'label': 'NEGATIVE', 'score': 0.9970628619194031}"
 The drive through has the dumbest set up for a drive through it runs the length of the regular parking area if the line for the drive through is long they block parking spaces and you cannot get in nor out . Walking service was fast,"{'label': 'NEGATIVE', 'score': 0.9987717270851135}"
understaffed slow service coupled with a dirty interior the trash had been overflowing for at least 20 minutes the store is far too small for the location,"{'label': 'NEGATIVE', 'score': 0.9997333884239197}"
 this mcdonalds is terrible i do not expect much from fast food but there is a standard a low one but at least reach minimal expectations . My son was thisappointed i ordered burger plain for a reason they were too busy chatting behind,"{'label': 'NEGATIVE', 'score': 0.9936287999153137}"
when it is busy they should not be using only 1 register other than that they have an okay customer service,"{'label': 'NEGATIVE', 'score': 0.9880402684211731}"
 well i was reluctant to go into a 2 star mcdonalds but it was not all that bad inside was relatively nice and the employees were pretty friendly of the breakfast meal i got . The sausage egg biscuit was pretty good .,"{'label': 'POSITIVE', 'score': 0.9993776679039001}"
 The coffee tasted bitter burnt and tasted like it was bitter burnt . It was a let down for the taste of the coffee .,"{'label': 'NEGATIVE', 'score': 0.999665379524231}"
 The second time i have gone through drivethru and ordered chicken nuggets for my nephew they always forget the sauce . The girl on the other end of the line said to check before i leave that it is in there .,"{'label': 'NEGATIVE', 'score': 0.9883694648742676}"
 this has gotta be the cheapest mcdonalds in mcdonald's history they never give napkins at the drive through i ordered 5 sandwiches and five large fries asked for extra ketchup and was given 2 packets of ketchup .,"{'label': 'NEGATIVE', 'score': 0.9978342652320862}"
 While seeing my food sit at the drive through window i watched as the lady preferred to attend the coffee maker and then after taking her time i finally got my food . The fries suck and the nuggets are rock hard .,"{'label': 'POSITIVE', 'score': 0.5929508209228516}"
